page,sexo,apostila,aposentou,faleceu
172,M,FALSE,TRUE,TRUE
173,M,FALSE,TRUE,TRUE
174,M,FALSE,TRUE,TRUE
175,M,FALSE,TRUE,TRUE
176,M,FALSE,TRUE,TRUE
177,M,FALSE,FALSE,TRUE
178,M,FALSE,TRUE,TRUE
179,M,FALSE,TRUE,TRUE
180,M,FALSE,TRUE,TRUE
181,M,FALSE,TRUE,TRUE
182,M,FALSE,TRUE,TRUE
183,M,FALSE,TRUE,TRUE
184,M,FALSE,TRUE,TRUE
185,M,FALSE,TRUE,TRUE
186,M,FALSE,TRUE,TRUE
187,M,FALSE,TRUE,TRUE
188,M,FALSE,TRUE,TRUE
189,M,FALSE,TRUE,TRUE
190,M,FALSE,TRUE,TRUE
191,M,FALSE,TRUE,TRUE
192,M,FALSE,TRUE,TRUE
193,M,FALSE,TRUE,TRUE
194,M,FALSE,FALSE,TRUE
195,M,FALSE,TRUE,TRUE
196,M,FALSE,TRUE,TRUE
197,M,FALSE,TRUE,TRUE
198,M,FALSE,TRUE,TRUE
199,M,FALSE,TRUE,TRUE
200,M,FALSE,TRUE,TRUE
201,M,FALSE,TRUE,TRUE
202,M,FALSE,TRUE,TRUE
203,M,FALSE,TRUE,TRUE
204,M,FALSE,TRUE,TRUE
205,M,FALSE,TRUE,TRUE
206,M,FALSE,TRUE,TRUE
207,M,FALSE,TRUE,TRUE
208,M,FALSE,TRUE,TRUE
209,M,FALSE,FALSE,TRUE
210,M,FALSE,TRUE,TRUE
211,M,FALSE,TRUE,TRUE
212,M,FALSE,TRUE,TRUE
213,M,FALSE,TRUE,TRUE
214,M,FALSE,TRUE,TRUE
215,M,FALSE,TRUE,TRUE
216,M,FALSE,TRUE,TRUE
217,M,FALSE,FALSE,TRUE
218,M,FALSE,TRUE,TRUE
219,M,FALSE,TRUE,TRUE
220,M,FALSE,TRUE,TRUE
221,M,FALSE,TRUE,TRUE
222,M,FALSE,TRUE,TRUE
223,M,FALSE,TRUE,TRUE
224,M,FALSE,TRUE,TRUE
225,M,FALSE,TRUE,TRUE
226,M,FALSE,TRUE,TRUE
227,M,FALSE,TRUE,TRUE
228,M,FALSE,TRUE,TRUE
229,M,FALSE,TRUE,TRUE
230,M,FALSE,TRUE,TRUE
231,M,FALSE,TRUE,TRUE
232,M,FALSE,TRUE,FALSE
233,M,FALSE,TRUE,TRUE
234,M,FALSE,TRUE,TRUE
235,M,FALSE,TRUE,TRUE
236,M,FALSE,FALSE,TRUE
237,M,FALSE,TRUE,TRUE
238,M,FALSE,TRUE,TRUE
239,M,FALSE,TRUE,TRUE
240,M,FALSE,FALSE,TRUE
241,M,FALSE,TRUE,TRUE
242,M,FALSE,TRUE,TRUE
243,M,FALSE,TRUE,TRUE
244,M,FALSE,TRUE,TRUE
245,M,FALSE,TRUE,TRUE
246,M,FALSE,TRUE,TRUE
247,M,FALSE,TRUE,TRUE
248,M,FALSE,TRUE,TRUE
249,M,FALSE,TRUE,TRUE
250,M,FALSE,TRUE,TRUE
251,M,FALSE,TRUE,TRUE
252,M,FALSE,TRUE,TRUE
253,M,FALSE,TRUE,TRUE
254,M,FALSE,TRUE,TRUE
255,M,FALSE,TRUE,TRUE
256,M,FALSE,TRUE,TRUE
257,M,FALSE,TRUE,TRUE
258,M,FALSE,TRUE,TRUE
259,M,FALSE,TRUE,TRUE
260,M,FALSE,TRUE,FALSE
261,M,FALSE,FALSE,TRUE
262,M,FALSE,TRUE,TRUE
263,M,FALSE,FALSE,TRUE
264,M,FALSE,TRUE,TRUE
265,M,FALSE,TRUE,TRUE
266,M,FALSE,TRUE,TRUE
267,M,FALSE,FALSE,TRUE
268,M,FALSE,TRUE,TRUE
269,M,FALSE,TRUE,TRUE
270,M,FALSE,TRUE,TRUE
271,M,FALSE,TRUE,TRUE
272,M,FALSE,TRUE,TRUE
273,M,FALSE,TRUE,TRUE
274,M,FALSE,TRUE,TRUE
275,M,FALSE,TRUE,TRUE
276,M,FALSE,TRUE,TRUE
277,M,FALSE,TRUE,FALSE
278,M,FALSE,TRUE,TRUE
279,M,FALSE,FALSE,TRUE
280,M,FALSE,TRUE,TRUE
281,M,FALSE,TRUE,TRUE
282,M,FALSE,TRUE,TRUE
283,M,FALSE,TRUE,TRUE
284,M,FALSE,TRUE,TRUE
285,M,FALSE,TRUE,TRUE
286,M,FALSE,TRUE,TRUE
287,M,FALSE,FALSE,TRUE
288,M,FALSE,TRUE,TRUE
289,M,FALSE,TRUE,TRUE
290,M,FALSE,TRUE,FALSE
291,M,FALSE,TRUE,TRUE
292,M,FALSE,TRUE,TRUE
293,M,FALSE,TRUE,FALSE
294,M,FALSE,TRUE,TRUE
295,M,FALSE,TRUE,FALSE
296,M,FALSE,TRUE,TRUE
297,M,FALSE,TRUE,FALSE
298,M,FALSE,TRUE,TRUE
299,M,FALSE,TRUE,TRUE
300,M,FALSE,TRUE,TRUE
301,M,FALSE,TRUE,FALSE
302,M,FALSE,TRUE,FALSE
303,M,FALSE,TRUE,TRUE
304,M,FALSE,TRUE,TRUE
305,M,FALSE,TRUE,FALSE
306,M,FALSE,TRUE,TRUE
307,M,FALSE,TRUE,TRUE
308,M,FALSE,TRUE,TRUE
309,M,FALSE,TRUE,FALSE
310,M,FALSE,TRUE,TRUE
311,M,FALSE,TRUE,FALSE
312,M,FALSE,TRUE,TRUE
313,M,FALSE,TRUE,TRUE
314,M,FALSE,TRUE,TRUE
315,M,FALSE,TRUE,TRUE
316,M,FALSE,TRUE,FALSE
317,M,FALSE,TRUE,TRUE
318,M,FALSE,TRUE,TRUE
319,M,FALSE,FALSE,TRUE
320,M,FALSE,TRUE,FALSE
321,M,FALSE,TRUE,FALSE
322,M,FALSE,TRUE,FALSE
323,M,FALSE,TRUE,TRUE
324,M,FALSE,TRUE,FALSE
325,M,FALSE,TRUE,TRUE
326,M,FALSE,FALSE,TRUE
327,M,FALSE,TRUE,TRUE
328,M,FALSE,TRUE,FALSE
329,M,FALSE,TRUE,TRUE
330,M,FALSE,TRUE,FALSE
